Full Tweet,user_location,place,State
"Miller's CrossingJohn Turturro as a spineless sociopath with an inexplicable edge of charm, Gabriel Byrne as a dead-eyed thug, John Polito, Marcia Gay Harden, a lean, mean Albert Finney, I mean GOD DAMN, at some point you gotta just sit back and soak it in. https://t.co/SMzYYysbxi","Worcester, MA",,MA
I might have just heard the Hunger Games mockingjay call at the doctor's office. _Ÿ˜° (Ring tone or I'm hearing things?),"Wisconsin, USA",,WI
The Hunger Games: Mockingjay - Part 1 - Francis Lawrence |... https://t.co/Pqd3276lbO #actionampadventure,Wisconsin,,WI
"This month: Our #MidniteMovie series A BRIEF HISTORY OF MIDNIGHT continues with FASTER, PUSSYCAT! KILL! KILL!  (35mm) | THE LOVE WITCH |  PINK FLAMINGOS (35mm) | DRIVE (35mm) | FIVE DEADLY VENOMS https://t.co/2TBZF5EwAl https://t.co/iW4ymlVKRV","Williamsburg, Brooklyn, NYC",,NY
The 13th anniversary of the release of Brokeback Mountain is just days away. https://t.co/a2UFFkAnW2,"Washington, DC, area","Gainesville, VA",VA
"This list irks me. http://bit.ly/ctNEX Kissed,Teeth,Anatomy of Hell, Damage, Irreversible? Boundary pushers,sure,but bad?More like riveting.","Washington, DC",,DC
"I can't even imagine how owned I would feel being Julia Allison's bf and having her call me ""a very reasonable choice"" in an article like this. https://t.co/03EJKTckwy","Washington, DC",,DC
"Erdoganâ€™s response to UAE Foreign Ministerâ€™s retweet that suggests Turks had looted sacred heritage in Arabia is harsh. â€œWhere were your ancestors when Fahreddin Pasha was defending Medina?â€ù With Lawrence of Arabia of course","Washington, DC",,DC
"Anti-West Statements By Turkish President #Erdogan &amp; PM Davutoglu: Muslim Countries Must 'Unite And Defeat The Successors Of Lawrence Of Arabia'; 'No One Will Be Able To Stop' The Rise Of #Islam In Europehttps://t.co/hGlUnDc4Vv https://t.co/dnkWN5CEVf https://t.co/FkV2B86hWY","Washington, DC",,DC
finished the book. thoughts percolating. mostly it just really made me want to rewatch Miller's Crossing. https://t.co/yUNsmPitFB,"Washington, DC",,DC
"""Always put one in the brain."" --Johnny Caspar, Miller's Crossing","Washington, DC",,DC
I tell people my favorite movie is The Bicycle Thief or Miller's Crossing. But it's probably Deep Cover.,"Washington, DC",,DC
Miller's Crossing &gt; Barney Miller &gt; Reggie Miller,"Washington, DC",,DC
Just re-watched Mona Lisa Smile. It's a deeply flawed movie and I love it so so much. Could never be made today tho because too many women.,"Washington, DC",,DC
".@reidepstein : â€œyou should post that picture of @EliStokols with the caption â€˜picture of Dorian Gray.â€™â€ù@jdawsey1 â€œwhoâ€™s Dorian Gray? Does he work in the White House?â€ù","Washington, DC",,DC
"The Picture of Dorian Gray recorded Gray's sins, even as his public face hid them. https://t.co/nAV5pxFrbeGeorge Conway's Twitter account is The Picture of Kellyanne Conway. https://t.co/GUB4wCWTZ5","Washington, DC",,DC
"Oscar Wilde was an Irish writer of the 19th century famous for his novel The Picture of Dorian Gray. Many of Wilde's works include biblical references, for example, in The Importance of Being Earnest, Miss Prism says, ""As a man sows so let him reap,"" referring to Gal. 6:7. https://t.co/nO1cLIQ1ph","Washington, DC",,DC
"Lawrence of Arabia ('62)Dir David LeanDP Freddie YoungTo filmÂ Omar Sharifâ€™s entrance through a mirage, DP used a unique Panavision 482mm@colebrax @WrongReel @sergioandreola @AlbertGalera @skipbolden @Decervelage @RickySpurs101 @normalchoice @pipevicioso @awhitetable https://t.co/uKXh1NWnu6","Washington, D.C.",,DC
"30 Years of Coens: ""Miller's Crossing"" http://t.co/05CniLMopK http://t.co/KAXiN5dtST","Washington, D.C.",,DC
