user_location,place,State
"Worcester, MA",,MA
"Wisconsin, USA",,WI
Wisconsin,,WI
"Williamsburg, Brooklyn, NYC",,NY
"Washington, DC, area","Gainesville, VA",VA
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, DC",,DC
"Washington, D.C.",,DC
"Washington, D.C.",,DC
Washington State,,WA
Washington State,,WA
Washington DC,,DC
"Warrenton, VA",,VA
"Waco, TX",,TX
"Virginia, USA",,VA
"Virginia Beach, VA","Virginia Beach, VA",VA
Virginia Beach,,VA
vegas,,NV
"Vancouver, Canada","Miami, FL",FL
"Valdosta, Georgia, USA",,GA
"Valdosta, GA",,GA
Turlock CA,,CA
Trowbridge,,IL
"Torrance, CA",,CA
"Toluca Lake, CA",,CA
The City of Angels (& Actors),,CA
"Texas, USA",,TX
"Texas, USA",,TX
"Texas, USA",,TX
"Texas, USA",,TX
"Texas, USA",,TX
"Texas, USA",,TX
Texas,,TX
Tennessee and Georgia,,TN
"Tempe, Arizona",,AZ
"Tangent, OR",,OR
"sunnydale, CA",,CA
"Studio City, CA",,CA
"St Paul, MN",,MN
"St Louis, MO",,MO
Southwestern USA. NM. Arizona.,,AZ
Southern California,,CA
"South San Francisco, CA",,CA
"South Los Angeles, Los Angeles",,CA
South Florida/NYC,,NY
South Florida,,FL
South Florida,,FL
"South Daytona, FL",,FL
South Dakota,,SD
South Carolina,,SC
"South Bend, IN",,IN
"Sonoma, CA",,CA
"Sonoma, CA",,CA
"Somersworth, NH","Somersworth, NH",NH
"Somerset, MA",,MA
sleepless in Seattle ,,WA
"shitville, OH",,OH
"Shadow Mountains, USA",,CA
"SF Bay Area, California",,CA
"Seattle, WA","Seattle, WA",WA
"Seattle, WA",,WA
"Seattle, WA",,WA
"Seattle, WA","Seattle, WA",WA
"Seattle, WA",,WA
"Seattle, WA",,WA
"Seattle, WA",,WA
Seattle,,WA
Seattle,,WA
"Scotch Plains, NJ",,NJ
"Scotch Plains, NJ",,NJ
"Santa Monica, CA","Santa Monica, CA",CA
Santa Monica,,CA
Santa Monica,,CA
"Santa Cruz, California",,CA
"Santa Clara, CA",,CA
"Santa Clara, CA",,CA
"Santa Clara, CA",,CA
"Sandusky, OH",,OH
San Jose CA USA,,CA
San Jose CA USA,,CA
San Jose CA USA,,CA
San Jose CA USA,,CA
"San Francisco, California","San Francisco, CA",CA
"San Francisco, California",,CA
"San Francisco, CA, USA",,CA
"San Francisco, CA, USA",,CA
"San Francisco, CA, USA",,CA
"San Francisco, CA, USA",,CA
"San Francisco, CA, USA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
"San Francisco, CA",,CA
San Francisco Bay Area,,CA
San Francisco,,CA
San Francisco,,CA
San Francisco,,CA
San Francisco,,CA
"San Diego, CA",,CA
"San Diego, CA",,CA
San Diego,,CA
"Salt Lake City, UT",,UT
"Sacramento, California",,CA
"Sacramento, CA",,CA
"Sacramento, CA",,CA
"Rural San Diego, CA",,CA
"Ruckersville, VA",,VA
"Royal Oak, MI","Chicago, IL",IL
"Rochester, NY",,NY
"Rochester, NY",,NY
"Rochester, NY",,NY
"Rochester, NY",,NY
"Richfield, MN",,MN
Republic of Texas,,TX
"Redmond, WA",,WA
"Raleigh, NC",,NC
"Queens, NY",,NY
"Queens, NY",,NY
"Queens, NY",,NY
queens,,NY
"Prunedale, CA",,CA
"Providence, RI",,RI
"Portland, OR",,OR
"Portland, OR",,OR
"Portland, OR",,OR
Portland Oregon ,,OR
Portland,,OR
Portland,,OR
Portland,,OR
"Pittsburgh, PA",,PA
"Pittsburgh, PA",,PA
"Pittsburgh, PA",,PA
"Pittsburgh, PA",,PA
"PITTSBURGH, PA",,PA
"Phoenix, AZ",,AZ
"Phoenix, AZ",,AZ
"Phoenix, AZ",,AZ
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA","Cochituate, MA",MA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
"Philadelphia, PA",,PA
philadelphia pa ,,PA
Philadelphia,,PA
Philadelphia,,PA
Philadelphia,,PA
phil,,PA
"PG County, Maryland",,MD
"Petty Rock, California",,CA
paypal.me/scruffbutt,"Kentucky, USA",KY
"Pasadena, CA",,CA
"Pasadena, CA",,CA
Panem,,TX
Panem,,TX
Panem,"Austin, TX",TX
Panem,,TX
Panem,,TX
Panem,,TX
Panem,,TX
Panem,,TX
Panem,,TX
Panem,,TX
Panem,,TX
PA,,PA
PA,,PA
Oxford and New York City,,NY
"Oswego, NY",,NY
"Orlando, FL",,FL
"Oregon, USA",,OR
"Oregon, USA",,OR
"Oregon, USA",,OR
"Oregon, USA",,OR
"Oregon, USA",,OR
"Ohio, USA",,OH
"Ohio, USA",,OH
"Ohio, USA",,OH
ogden utah,,UT
obviously brooklyn,,NY
obviously brooklyn,,NY
"Oakland, MD",,MD
"Oakland, CA",,CA
NYC+ Worldwide,,NY
NYC/Woodstock,,NY
"NYC, Tokyo",,NY
"NYC, Tokyo",,NY
"NYC, Tokyo",,NY
"NYC, Tokyo",,NY
"NYC, Tokyo",,NY
"NYC, LA & The Beautiful South",,NY
nyc via okla,,NY
nyc via okla,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
nyc,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NYC,,NY
NY-LON-KHI,,NY
"Norton, Mass.",,MA
"North Carolina, USA",,NC
North Carolina,,NC
"Norfolk, VA",,VA
"Norfolk, VA",,VA
"Norfolk, VA",,VA
"Norfolk, VA",,VA
"Norfolk, VA",,VA
NJ | NYC,,NJ
NJ,,NJ
New York!,,NY
"New York, USA",,NY
"New York, USA",,NY
"New York, USA",,NY
"New York, USA",,NY
"New York, USA",,NY
"New York, NY USA",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY","Manhattan, NY",NY
"New York, NY","Vermont, USA",VT
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY","Brooklyn, NY",NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, NY",,NY
"New York, New York",,NY
"New York, New York",,NY
"New York, New York",,NY
"New York, New York",,NY
New York City â€“ Bologna,,NY
New York City â€“ Bologna,,NY
New York City & Oxford,,NY
New York City ,,NY
New York City ,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,"Manhattan, NY",NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,"Manhattan, NY",NY
New York City,"Richmond, VA",NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York City,,NY
New York and Cincinnati,,OH
New York and Cincinnati,,OH
New York and Cincinnati,,OH
New York and Cincinnati,,OH
New York,NY,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,"Cincinnati, OH",OH
New York,"Manhattan, NY",NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,"Manhattan, NY",NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
New York,,NY
"New Paltz, NY",,NY
"New Orleans, LA",,LA
"New Orleans, LA","New Orleans, LA",LA
New Orleans,"New Orleans, LA",LA
New Orleans,,LA
"New Jersey, USA",,NJ
"New Jersey, USA",,NJ
"Nevada, USA",,NV
"Nevada, USA",,NV
near Detroit,,IL
"Nashville, TN",,TN
"Nashville, TN",,TN
"Nashville, TN",,TN
"Muncie, IN",,IN
"Mountain View, CA",,CA
"Moorpark, CA",,CA
"Missouri City, TX","Missouri City, TX",TX
"Minnesota, USA",,MN
Minnesota - Colorado,,CO
"Minneapolis, MN",,MN
Minneapolis,,MN
"Michigan, USA",,MI
"Michigan, USA",,MI
"Michigan, USA",,MI
"Michigan, they/them, â“‹, â˜­",,MI
michigan,,MI
"Miami, Fl",,FL
MEMPHIS TN,,TN
MDW,,IL
"McMinnville, OR",,OR
"Massachusetts, USA",,MA
"Maryland, USA",,MD
"Manhattan, NY",,NY
"Manhattan, NY",,NY
"Manhattan, NY","Manhattan, NY",NY
"Manhattan, New York City","Manhattan, NY",NY
"Maine, USA",,ME
Maine,,ME
"Madison, WI",,WI
"Lubbock, TX",,TX
"Louisville, Kentucky",,KY
Lost Angles,,CA
"Los Angeles, California",,CA
"Los Angeles, California",,CA
"Los Angeles, CA (gargling glass shards)",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
"Los Angeles, CA",,CA
